13.87,12.04,10.75,11.58,8.453,11.15,14.5,12.67,12.52,10.63,13.84,9.042,10.64,11.34,9.475,11.53
1.746,1.658,1.529,1.616,1.273,1.575,1.891,1.733,1.657,1.514,1.738,1.338,1.516,1.595,1.386,1.613
1,1,1.252,1,1.54,1,1,1.012,1,1.062,1,1.828,1,1.187,1.354,1
16.87,10.56,13.12,7.819,12.28,9.007,16,7.896,16.54,9.222,15.43,7.986,10.19,9.079,12.12,9.948
0.08936,0.07978,0.09468,0.0803,0.0935,0.07717,0.09064,0.07556,0.1172,0.1256,0.1015,0.1193,0.1211,0.08501,0.09375,0.08763
-0.2269,-0.1322,-0.2014,-0.2074,-0.2231,-0.3923,-0.6596,-0.03808,-0.6536,-1.241,-0.4735,-0.9344,-1.119,-0.0005797,-0.2417,0.1067
11.82,8.113,10.89,5.859,10.05,7.938,14.86,5.253,14.67,15.96,12.77,11.75,14.06,5.853,10.35,4.662
